Employee_ID,Job_Title,Department,Years_Experience,Performance_Tier,Annual_Salary_USD
EMP-20385,software engineer,Marketing,5.0,Level-2 (Medium),157629.9332740612
EMP-71432,UNKNOWN,Finance,1.0,Level-1 (Low),84400.07227795778
EMP-10237,Software Engineer,Human Resources,3.0,Level-1 (Low),150248.13377305772
EMP-65055,data analyst,Engineering,12.0,Level-2 (Medium),36551.30912277471
EMP-18405,Software Engineer,Human Resources,8.0,Level-2 (Medium),128843.31791744135
EMP-55735,Data Analyst,N/A,3.0,Level-3 (High),144573.55982742063
EMP-26382,Project Manager,Human Resources,1.0,Level-2 (Medium),63595.19387542061
EMP-73670,Project Manager,Human Resources,8.0,Level-2 (Medium),105320.26143417861
EMP-87322,UNKNOWN,Finance,8.0,Level-1 (Low),90692.70567758803
EMP-19610,Software Engineer,Engineering,8.0,Level-1 (Low),88567.2631094968
EMP-13676,,Engineering,1.0,Level-1 (Low),
EMP-10073,Software Engineer,Engineering,5.0,MISSING,32393.44394269283
EMP-75617,  Manager  ,Finance,35.0,Level-2 (Medium),107140.49352380447
EMP-60251,Data Analyst,Human Resources,3.0,Level-2 (Medium),40769.70327249818
EMP-17403,Data Analyst,Engineering,8.0,Level-3 (High),36884.153796548206
EMP-31486,software engineer,Marketing,1.0,Level-1 (Low),29300.469206698042
EMP-27752,software engineer,Human Resources,3.0,Level-1 (Low),168376.32033948106
EMP-93070,,Engineering,3.0,Level-2 (Medium),
EMP-42836,data analyst,Engineering,,Level-2 (Medium),166218.96356562668
EMP-96690,data analyst,Engineering,3.0,Level-1 (Low),156611.4476083634
EMP-93131,software engineer,Finance,,Level-2 (Medium),88474.23960743117
EMP-33792,UNKNOWN,Engineering,12.0,Level-2 (Medium),181550.22665715805
EMP-66223,software engineer,Marketing,5.0,Level-1 (Low),160048.56177514812
EMP-52716,software engineer,N/A,,Level-3 (High),125368.56705896191
EMP-88043,software engineer,Human Resources,12.0,Level-2 (Medium),61103.19508588454
EMP-93661,,Engineering,3.0,Level-2 (Medium),
EMP-32797,Data Analyst,Human Resources,1.0,Level-3 (High),118729.76021139113
EMP-90731,Software Engineer,Human Resources,5.0,Level-2 (Medium),50468.70860883406
EMP-31967,Software Engineer,Human Resources,5.0,Level-2 (Medium),38574.09054602158
EMP-80514,Data Analyst,Engineering,3.0,Level-2 (Medium),96493.86866948433
EMP-82252,,Finance,3.0,Level-3 (High),
EMP-25924,  Manager  ,N/A,-2.0,Level-1 (Low),120752.13025844685
EMP-12628,UNKNOWN,Engineering,3.0,Level-2 (Medium),99306.97260803594
EMP-94456,Data Analyst,Engineering,12.0,Level-2 (Medium),161803.84176597427
EMP-74569,Data Analyst,Marketing,35.0,Level-2 (Medium),73754.11333377205
EMP-13923,  Manager  ,Finance,,Level-2 (Medium),63711.19601274085
EMP-38013,  Manager  ,Engineering,1.0,Level-3 (High),115860.03312821835
EMP-34265,Software Engineer,Engineering,8.0,Level-2 (Medium),75634.2096525991
EMP-73543,Software Engineer,Finance,5.0,Level-3 (High),101358.7523439122
EMP-56027,SOFTWARE ENGINEER,Marketing,,Level-3 (High),88424.69220764462
EMP-11725,Project Manager,Finance,5.0,Level-3 (High),159056.36901493932
EMP-44991,  Manager  ,Engineering,,Level-2 (Medium),132142.79445367624
EMP-22122,Software Engineer,Engineering,12.0,Level-2 (Medium),75397.58401514555
EMP-42222,SOFTWARE ENGINEER,Finance,,Level-2 (Medium),159046.96759040523
EMP-95949,data analyst,Marketing,3.0,Level-3 (High),60544.004247279874
EMP-88203,Project Manager,Marketing,5.0,Level-2 (Medium),140917.60151896338
EMP-10413,software engineer,Finance,5.0,Level-1 (Low),40589.73086746834
EMP-39939,SOFTWARE ENGINEER,Engineering,,Level-2 (Medium),46549.422542631015
EMP-96770,Software Engineer,Marketing,3.0,Level-1 (Low),100835.14297490011
EMP-54208,Software Engineer,Finance,99.0,Level-1 (Low),112591.20420675816
EMP-67332,  Manager  ,Engineering,,Level-3 (High),34980.23063138671
EMP-23837,Software Engineer,Marketing,5.0,Level-1 (Low),120436.52964697414
EMP-14805,Data Analyst,Engineering,8.0,Level-1 (Low),55161.2630543245
EMP-60805,SOFTWARE ENGINEER,Finance,1.0,Level-3 (High),171991.5043080926
EMP-75486,,Human Resources,5.0,Level-2 (Medium),
EMP-77076,Data Analyst,Engineering,1.0,Level-2 (Medium),177566.57781926886
EMP-54644,software engineer,Engineering,3.0,Level-2 (Medium),159851.0714219811
EMP-15020,Project Manager,Engineering,1.0,Level-3 (High),80958.93823532741
EMP-51909,Data Analyst,Finance,5.0,Level-3 (High),118641.8115112861
EMP-84286,Software Engineer,Finance,3.0,Level-1 (Low),107455.2532453095
EMP-88421,Software Engineer,Marketing,35.0,Level-2 (Medium),39362.121120280906
EMP-26617,Data Analyst,Marketing,8.0,Level-1 (Low),101410.61470159488
EMP-53852,software engineer,Finance,3.0,Level-1 (Low),173928.04626542897
EMP-50794,SOFTWARE ENGINEER,Finance,5.0,Level-1 (Low),130874.04022056567
EMP-21143,software engineer,Marketing,3.0,Level-3 (High),173636.41944594673
EMP-86494,data analyst,Finance,5.0,Level-3 (High),39623.83932983997
EMP-99346,data analyst,Finance,12.0,Level-2 (Medium),128777.2778229155
EMP-39075,data analyst,Engineering,5.0,MISSING,49268.77433589693
EMP-71757,software engineer,Human Resources,3.0,Level-2 (Medium),136427.26764218853
EMP-30537,UNKNOWN,Marketing,5.0,Level-2 (Medium),151899.89785115846
EMP-96345,  Manager  ,Human Resources,8.0,Level-3 (High),65024.589322991436
EMP-65929,Data Analyst,Human Resources,12.0,Level-1 (Low),57721.65475770054
EMP-89871,Data Analyst,Engineering,1.0,Level-3 (High),64585.14621873503
EMP-23581,  Manager  ,Finance,35.0,Level-1 (Low),69187.72119287537
EMP-64203,software engineer,Finance,3.0,Level-3 (High),60464.95645321775
EMP-92321,Software Engineer,Finance,1.0,Level-2 (Medium),167063.887752522
EMP-92935,SOFTWARE ENGINEER,Engineering,3.0,Level-1 (Low),77934.85491094305
EMP-63668,software engineer,Engineering,-2.0,Level-2 (Medium),26009.072591827957
EMP-22739,Data Analyst,Human Resources,12.0,Level-3 (High),104800.1627629317
EMP-66076,software engineer,Marketing,8.0,Level-3 (High),135098.54546974332
EMP-77942,data analyst,Finance,12.0,Level-2 (Medium),125529.1321393921
EMP-14899,Software Engineer,Engineering,8.0,Level-2 (Medium),45839.08641327071
EMP-29133,Project Manager,Human Resources,5.0,Level-2 (Medium),138683.89978824212
EMP-84012,Project Manager,Finance,1.0,Level-1 (Low),75889.3053408176
EMP-36316,software engineer,Finance,1.0,Level-2 (Medium),86593.76824673224
EMP-38482,UNKNOWN,Finance,5.0,Level-2 (Medium),133773.49144794914
EMP-75181,UNKNOWN,Engineering,5.0,Level-1 (Low),152290.83887094352
EMP-65456,Software Engineer,Finance,3.0,Level-1 (Low),106154.4668720817
EMP-28139,data analyst,Engineering,5.0,Level-3 (High),132810.94080708668
EMP-65760,data analyst,Human Resources,3.0,Level-2 (Medium),44467.73411726424
EMP-39934,Software Engineer,Engineering,5.0,Level-1 (Low),103215.45303409884
EMP-96378,SOFTWARE ENGINEER,Engineering,5.0,Level-1 (Low),96114.68726988084
EMP-79606,Data Analyst,Finance,,Level-2 (Medium),124843.97287530974
EMP-68355,Data Analyst,Engineering,1.0,Level-2 (Medium),27608.565174626332
EMP-23222,  Manager  ,Engineering,5.0,Level-2 (Medium),112833.84107557674
EMP-59752,SOFTWARE ENGINEER,Engineering,35.0,Level-1 (Low),85346.97671365793
EMP-12294,Data Analyst,Marketing,3.0,Level-3 (High),164786.39270945327
EMP-43701,SOFTWARE ENGINEER,Marketing,5.0,Level-3 (High),131904.40490221418
EMP-84293,software engineer,Finance,12.0,MISSING,130741.66986354848
EMP-62894,Data Analyst,Engineering,99.0,Level-1 (Low),57448.99873857714
EMP-64683,software engineer,Engineering,3.0,Level-2 (Medium),169676.18913699314
EMP-74323,Data Analyst,Engineering,3.0,Level-3 (High),159734.25827119884
EMP-53748,Data Analyst,Marketing,12.0,Level-1 (Low),135864.5714467414
EMP-35099,software engineer,Engineering,1.0,Level-1 (Low),153735.03265591842
EMP-51225,Data Analyst,Human Resources,5.0,Level-2 (Medium),162826.79299608464
EMP-30989,  Manager  ,Finance,5.0,Level-2 (Medium),56388.902131004084
EMP-38064,Software Engineer,Finance,1.0,Level-1 (Low),115109.9922703087
EMP-55622,Software Engineer,Marketing,5.0,Level-3 (High),150140.4595851263
EMP-54013,Software Engineer,Engineering,5.0,Level-2 (Medium),87745.57814665628
EMP-93440,software engineer,Human Resources,5.0,Level-2 (Medium),184298.71766048565
EMP-80949,Data Analyst,Engineering,12.0,Level-2 (Medium),120724.17239188227
EMP-80441,data analyst,Engineering,8.0,Level-1 (Low),147961.68575479707
EMP-24720,software engineer,Finance,99.0,Level-3 (High),126135.03714961607
EMP-99338,software engineer,Engineering,1.0,Level-2 (Medium),102986.57504836629
EMP-21785,Software Engineer,Finance,35.0,Level-1 (Low),125745.24103074032
EMP-53192,Software Engineer,Engineering,5.0,Level-3 (High),56907.37584335617
EMP-47466,software engineer,Engineering,8.0,Level-2 (Medium),181868.3620370482
EMP-30204,software engineer,Engineering,3.0,Level-3 (High),66030.63323827938
EMP-46885,SOFTWARE ENGINEER,Engineering,12.0,Level-3 (High),139320.98019829733
EMP-77951,Data Analyst,Marketing,1.0,Level-1 (Low),158906.5160593706
EMP-56514,Software Engineer,N/A,35.0,Level-2 (Medium),104076.79362709368
EMP-92640,Software Engineer,Finance,3.0,Level-2 (Medium),60839.66879353438
EMP-30530,software engineer,Marketing,8.0,Level-3 (High),116422.84745965578
EMP-45327,software engineer,Finance,3.0,Level-1 (Low),59655.634656653245
EMP-65800,data analyst,Engineering,3.0,Level-2 (Medium),45076.40674542148
EMP-16285,Data Analyst,Marketing,5.0,Level-3 (High),102979.47085873515
EMP-74158,Data Analyst,Human Resources,12.0,Level-1 (Low),156775.60533621156
EMP-66670,Project Manager,Engineering,3.0,Level-2 (Medium),35916.39612494983
EMP-76336,  Manager  ,Engineering,8.0,Level-2 (Medium),27414.306247735123
EMP-81727,,Engineering,35.0,Level-2 (Medium),
EMP-42610,  Manager  ,Marketing,8.0,Level-1 (Low),51284.34119960714
EMP-69248,software engineer,Human Resources,-2.0,MISSING,162540.1126188072
EMP-82099,,Engineering,5.0,Level-3 (High),
EMP-70425,Data Analyst,Human Resources,12.0,Level-2 (Medium),150837.78492388508
EMP-50291,software engineer,Finance,12.0,Level-1 (Low),82001.01967080345
EMP-62583,UNKNOWN,Marketing,1.0,MISSING,184437.7313018924
EMP-65936,SOFTWARE ENGINEER,Human Resources,35.0,Level-1 (Low),182594.80395005192
EMP-15759,software engineer,Engineering,5.0,Level-1 (Low),49592.99946623833
EMP-16273,Software Engineer,Engineering,5.0,Level-2 (Medium),134982.38015519117
EMP-50542,Project Manager,Human Resources,3.0,Level-3 (High),184389.23807795558
EMP-59085,Software Engineer,Engineering,35.0,Level-2 (Medium),133522.64409088454
EMP-95837,data analyst,Engineering,,Level-2 (Medium),74722.45043897923
EMP-15690,Project Manager,Finance,12.0,Level-2 (Medium),162861.16335234008
EMP-86150,data analyst,Human Resources,5.0,Level-3 (High),29276.518550087618
EMP-40260,Software Engineer,Human Resources,12.0,Level-2 (Medium),92386.11171178034
EMP-69413,Software Engineer,Finance,1.0,Level-1 (Low),64754.88820741221
EMP-92771,Project Manager,Engineering,3.0,Level-1 (Low),149161.58144141213
EMP-91237,SOFTWARE ENGINEER,Marketing,8.0,Level-2 (Medium),173682.60465657184
EMP-32859,software engineer,Marketing,5.0,Level-2 (Medium),136237.8368302741
EMP-82689,software engineer,Engineering,-2.0,Level-1 (Low),110322.70308976049
EMP-86292,data analyst,Marketing,5.0,Level-2 (Medium),52559.24192826006
EMP-87449,software engineer,Engineering,3.0,Level-1 (Low),75336.46208717866
EMP-46903,Software Engineer,Finance,3.0,Level-1 (Low),107270.56309344117
EMP-18275,Data Analyst,Human Resources,35.0,Level-2 (Medium),144751.30406986564
EMP-81490,Data Analyst,Marketing,35.0,Level-1 (Low),29240.30837714918
EMP-60574,UNKNOWN,Engineering,8.0,Level-1 (Low),109470.66488932473
EMP-63609,UNKNOWN,Marketing,3.0,Level-2 (Medium),57539.07660150337
EMP-65781,SOFTWARE ENGINEER,Marketing,35.0,Level-2 (Medium),129068.27187568175
EMP-31684,software engineer,Marketing,5.0,Level-2 (Medium),109531.05324631678
EMP-12049,Project Manager,Human Resources,3.0,Level-2 (Medium),50038.647859239805
EMP-39070,SOFTWARE ENGINEER,Engineering,35.0,Level-2 (Medium),61049.19148051373
EMP-49813,  Manager  ,Marketing,99.0,Level-3 (High),61524.92917577064
EMP-76414,,Finance,3.0,Level-3 (High),
EMP-29519,data analyst,Engineering,5.0,Level-1 (Low),103588.56105692769
EMP-70940,  Manager  ,Engineering,99.0,Level-2 (Medium),78048.44162690749
EMP-49953,software engineer,Marketing,-2.0,Level-1 (Low),79168.90781272258
EMP-36304,Data Analyst,Engineering,5.0,Level-2 (Medium),166159.8049532176
EMP-19480,data analyst,Marketing,3.0,Level-2 (Medium),92396.71998181268
EMP-34302,Data Analyst,Engineering,1.0,Level-2 (Medium),27996.573734479658
EMP-21957,,Engineering,,MISSING,
EMP-60682,Software Engineer,Human Resources,35.0,Level-1 (Low),125792.64209246477
EMP-22148,Software Engineer,Engineering,8.0,MISSING,29611.218468644383
EMP-51139,Software Engineer,Marketing,5.0,Level-3 (High),76067.19900473393
EMP-10573,Project Manager,Engineering,1.0,Level-1 (Low),143511.0584628372
EMP-69678,software engineer,Marketing,8.0,Level-3 (High),141344.85466981446
EMP-50335,Software Engineer,Marketing,35.0,Level-1 (Low),70060.5168767006
EMP-30126,Data Analyst,Marketing,8.0,Level-3 (High),55895.53161000712
EMP-82807,UNKNOWN,Engineering,1.0,Level-3 (High),52829.40466258676
EMP-98263,UNKNOWN,Engineering,8.0,Level-2 (Medium),53113.0055242137
EMP-44570,software engineer,Engineering,5.0,Level-3 (High),57820.68274302113
EMP-75813,Data Analyst,Engineering,35.0,Level-3 (High),151745.53825723456
EMP-62231,,Engineering,3.0,Level-3 (High),
EMP-45311,Software Engineer,Finance,12.0,Level-1 (Low),73418.57603740353
EMP-55872,Software Engineer,N/A,5.0,Level-1 (Low),168015.53864410732
EMP-20680,data analyst,Engineering,35.0,Level-2 (Medium),66273.40689922686
EMP-18697,Software Engineer,Engineering,3.0,Level-2 (Medium),117632.93062854164
EMP-71443,data analyst,Human Resources,35.0,Level-2 (Medium),70855.0905550357
EMP-66113,software engineer,Human Resources,12.0,Level-3 (High),172510.99965220873
EMP-22892,Project Manager,Marketing,3.0,Level-3 (High),63727.80512973044
EMP-81234,software engineer,Human Resources,3.0,Level-2 (Medium),157696.98328647827
EMP-31177,data analyst,Finance,35.0,Level-1 (Low),61083.187788035946
EMP-46259,Data Analyst,Finance,3.0,Level-1 (Low),33896.283789026216
EMP-54695,Software Engineer,Engineering,35.0,Level-3 (High),52877.542132657996
EMP-91175,  Manager  ,Finance,99.0,MISSING,88801.19117557339
EMP-21328,data analyst,Human Resources,3.0,Level-2 (Medium),62082.12478162107
EMP-17151,Software Engineer,Engineering,5.0,Level-2 (Medium),62509.431891544584
EMP-81021,Software Engineer,Human Resources,5.0,MISSING,169558.83718109183
EMP-51218,SOFTWARE ENGINEER,Engineering,3.0,Level-1 (Low),184414.4359222556
EMP-88030,  Manager  ,Engineering,,Level-2 (Medium),67020.75560403828
EMP-41712,data analyst,Engineering,3.0,Level-2 (Medium),113571.55912832593
EMP-75927,Data Analyst,Human Resources,8.0,Level-2 (Medium),118743.17926300662
EMP-83377,Data Analyst,Human Resources,3.0,Level-1 (Low),72639.6808352363
EMP-10175,Software Engineer,Marketing,3.0,Level-2 (Medium),116604.15681996194
EMP-70656,Software Engineer,Engineering,1.0,Level-3 (High),108958.04443815726
EMP-16425,Software Engineer,Human Resources,3.0,Level-1 (Low),93916.85904086169
EMP-43238,software engineer,Marketing,8.0,Level-3 (High),112520.8175059444
EMP-99080,Software Engineer,N/A,12.0,Level-2 (Medium),161117.47414807812
EMP-17134,SOFTWARE ENGINEER,N/A,8.0,Level-3 (High),140842.15155153215
EMP-88535,Data Analyst,N/A,12.0,Level-2 (Medium),182490.02269583946
EMP-65605,data analyst,Marketing,12.0,Level-1 (Low),110884.70629694693
EMP-56417,Project Manager,Marketing,5.0,Level-2 (Medium),106304.28785339255
EMP-99133,Data Analyst,Engineering,3.0,Level-1 (Low),89945.27978222157
EMP-29447,Software Engineer,Finance,5.0,MISSING,80130.08181057536
EMP-18022,software engineer,Marketing,5.0,Level-1 (Low),134922.31386326108
EMP-45005,software engineer,Finance,1.0,Level-2 (Medium),124448.25916759484
EMP-18381,Data Analyst,Finance,1.0,Level-3 (High),50341.79693793382
EMP-48290,SOFTWARE ENGINEER,Engineering,12.0,Level-2 (Medium),142060.9942243343
EMP-63465,Data Analyst,Human Resources,3.0,Level-1 (Low),148988.2977309304
EMP-56515,Software Engineer,Engineering,5.0,Level-3 (High),43137.59395569763
EMP-32514,Project Manager,Human Resources,1.0,Level-1 (Low),172258.2464787169
EMP-48974,software engineer,Marketing,1.0,Level-3 (High),128793.50729303565
EMP-60859,UNKNOWN,Engineering,5.0,Level-1 (Low),31645.422396550275
EMP-73032,Data Analyst,Marketing,35.0,Level-1 (Low),81063.15471489108
EMP-99714,Software Engineer,Marketing,8.0,Level-2 (Medium),46488.52287839867
EMP-75777,data analyst,N/A,8.0,Level-2 (Medium),155508.9952212195
EMP-92824,Software Engineer,Human Resources,12.0,Level-3 (High),82535.43120853559
EMP-28305,Software Engineer,Engineering,,Level-1 (Low),94248.92626540421
EMP-14454,SOFTWARE ENGINEER,Engineering,3.0,Level-1 (Low),122566.45588082954
EMP-15964,Software Engineer,Human Resources,,Level-1 (Low),44619.937751631514
EMP-60661,Software Engineer,Human Resources,12.0,Level-1 (Low),106372.02027118782
EMP-29423,software engineer,Engineering,8.0,Level-1 (Low),139393.15900048625
EMP-96844,Data Analyst,Finance,5.0,Level-3 (High),47773.916351427804
EMP-77461,Data Analyst,Marketing,3.0,Level-2 (Medium),58151.817577837675
EMP-47462,Software Engineer,Engineering,,Level-2 (Medium),124447.82138307896
EMP-35776,data analyst,Engineering,8.0,Level-2 (Medium),85161.56175830973
EMP-26186,Project Manager,Human Resources,,Level-3 (High),118189.19245855046
EMP-38478,  Manager  ,Marketing,12.0,Level-3 (High),164511.10952030914
EMP-52333,Data Analyst,Human Resources,8.0,Level-3 (High),178246.72115425792
EMP-75269,data analyst,Finance,8.0,Level-3 (High),63054.02810307896
EMP-66598,data analyst,Finance,3.0,Level-2 (Medium),53679.148768260384
EMP-30035,Data Analyst,Engineering,12.0,Level-2 (Medium),42382.92598746506
EMP-30988,software engineer,Marketing,1.0,Level-3 (High),80520.25962918854
EMP-99369,Software Engineer,Finance,3.0,Level-2 (Medium),105156.76951903988
EMP-95817,,Engineering,,Level-3 (High),
EMP-16335,Project Manager,Finance,5.0,Level-2 (Medium),81858.62110389053
EMP-65868,Project Manager,N/A,3.0,Level-2 (Medium),58339.67454470379
EMP-81145,Data Analyst,Engineering,99.0,Level-2 (Medium),113770.81747208313
EMP-90106,data analyst,Engineering,5.0,Level-1 (Low),78957.86061365137
EMP-26480,data analyst,Engineering,5.0,Level-3 (High),133800.4228882986
EMP-33754,SOFTWARE ENGINEER,Engineering,,Level-3 (High),166864.29469369186
EMP-55941,Software Engineer,Engineering,3.0,Level-3 (High),143162.58105638545
EMP-24924,software engineer,Engineering,12.0,MISSING,130161.74135235307
EMP-91644,software engineer,N/A,5.0,Level-2 (Medium),68008.89843669094
EMP-49845,Data Analyst,Marketing,,Level-1 (Low),177374.93510101363
EMP-36330,Project Manager,Human Resources,5.0,Level-2 (Medium),132240.37356566713
EMP-26478,Software Engineer,Engineering,5.0,Level-1 (Low),172069.85051919884
EMP-29453,data analyst,Finance,5.0,Level-3 (High),47565.186261137496
EMP-25188,SOFTWARE ENGINEER,Marketing,5.0,MISSING,178985.13641979612
EMP-23390,software engineer,Finance,5.0,Level-2 (Medium),65745.37625559772
EMP-84629,SOFTWARE ENGINEER,Marketing,1.0,Level-1 (Low),141690.6961593439
EMP-56393,Software Engineer,Marketing,1.0,Level-3 (High),100315.80123423852
EMP-28873,SOFTWARE ENGINEER,Marketing,5.0,Level-2 (Medium),45246.436845411095
EMP-53273,Data Analyst,Finance,,Level-1 (Low),139628.27450206873
EMP-24859,Software Engineer,Finance,5.0,Level-2 (Medium),81553.08441131457
EMP-95892,UNKNOWN,N/A,1.0,Level-2 (Medium),95079.69136569032
EMP-82135,Data Analyst,Finance,,Level-1 (Low),160262.61020202911
EMP-46461,Software Engineer,Marketing,3.0,Level-2 (Medium),152098.21257851622
EMP-85441,Data Analyst,Finance,3.0,Level-2 (Medium),26885.028406390567
EMP-63482,Project Manager,Engineering,,Level-3 (High),49246.01199376932
EMP-20094,SOFTWARE ENGINEER,Engineering,3.0,Level-1 (Low),153616.9916620769
EMP-53673,Project Manager,Engineering,1.0,Level-2 (Medium),133430.1574123169
EMP-88499,,Finance,8.0,Level-2 (Medium),
EMP-49035,software engineer,Engineering,5.0,Level-1 (Low),51124.707101467575
EMP-86656,software engineer,Engineering,8.0,Level-2 (Medium),184256.52466366297
EMP-99225,Data Analyst,Finance,3.0,Level-3 (High),38650.76175625627
EMP-33192,Project Manager,Engineering,,Level-1 (Low),127924.42781201648
EMP-89566,data analyst,Marketing,8.0,Level-1 (Low),156948.9340949375
EMP-18263,Data Analyst,Engineering,8.0,Level-3 (High),139511.82197224646
EMP-82051,software engineer,Engineering,8.0,Level-2 (Medium),83756.58153728995
EMP-62774,SOFTWARE ENGINEER,Human Resources,5.0,Level-1 (Low),40904.26895906545
EMP-54987,data analyst,Marketing,99.0,Level-2 (Medium),112782.1246570867
EMP-35905,Project Manager,Human Resources,1.0,Level-1 (Low),123714.58880256083
EMP-87635,  Manager  ,Finance,35.0,Level-3 (High),141467.19102941355
EMP-38793,Project Manager,Engineering,5.0,Level-1 (Low),125675.83918267285
EMP-52218,Data Analyst,Engineering,8.0,Level-1 (Low),182752.38521884714
EMP-38011,software engineer,Engineering,5.0,Level-2 (Medium),133568.31884313398
EMP-84300,,Finance,8.0,Level-2 (Medium),
EMP-51972,  Manager  ,Finance,1.0,Level-3 (High),107951.65663028277
EMP-31777,Software Engineer,Marketing,5.0,Level-3 (High),79476.44489780425
EMP-11175,software engineer,Human Resources,,Level-2 (Medium),137148.8451976169
EMP-77137,software engineer,Marketing,3.0,Level-2 (Medium),165871.1434965838
EMP-80158,  Manager  ,Finance,8.0,Level-1 (Low),119811.69643989624
EMP-95650,Project Manager,N/A,3.0,Level-2 (Medium),115203.2305201309
EMP-12045,  Manager  ,Engineering,,Level-3 (High),101147.0070102702
EMP-24545,SOFTWARE ENGINEER,Engineering,35.0,Level-2 (Medium),158780.21582365455
EMP-26103,Software Engineer,Finance,-2.0,Level-2 (Medium),76475.20278991244
EMP-63863,UNKNOWN,Human Resources,3.0,Level-1 (Low),169350.57430806407
EMP-82580,  Manager  ,Engineering,1.0,Level-2 (Medium),81503.68527566385
EMP-55143,software engineer,Finance,12.0,Level-1 (Low),93976.12071716778
EMP-41255,data analyst,Finance,12.0,Level-2 (Medium),121635.2270095172
EMP-85433,SOFTWARE ENGINEER,Marketing,35.0,Level-2 (Medium),67124.05664124616
EMP-31919,software engineer,Engineering,5.0,Level-2 (Medium),136591.4926657035
EMP-21921,Data Analyst,Human Resources,1.0,Level-3 (High),94835.91202985118
EMP-91603,Software Engineer,Human Resources,3.0,Level-1 (Low),96459.91067035342
EMP-99780,Data Analyst,Marketing,5.0,Level-1 (Low),44724.27686578239
EMP-62327,software engineer,Human Resources,3.0,Level-3 (High),81766.85764238241
EMP-52910,data analyst,Engineering,8.0,Level-2 (Medium),133896.79848279816
EMP-97536,Data Analyst,Engineering,5.0,Level-1 (Low),146255.08458023722
EMP-10567,Data Analyst,Engineering,5.0,Level-2 (Medium),41450.97736790216
EMP-51947,Data Analyst,Marketing,5.0,Level-2 (Medium),113469.08113401625
EMP-60995,Software Engineer,Engineering,35.0,Level-3 (High),149472.13570794763
EMP-69085,SOFTWARE ENGINEER,Finance,5.0,Level-2 (Medium),177325.27284876874
EMP-44043,data analyst,N/A,3.0,Level-1 (Low),135609.93889938248
EMP-87967,Software Engineer,Finance,,Level-1 (Low),88969.99424478301
EMP-51945,Software Engineer,Engineering,35.0,Level-2 (Medium),153759.36324863677
EMP-96471,software engineer,Marketing,1.0,Level-3 (High),144077.05922577885
EMP-38438,Project Manager,Marketing,5.0,Level-2 (Medium),83239.94723452102
EMP-70554,Software Engineer,N/A,3.0,Level-1 (Low),66551.84073047916
EMP-96076,Data Analyst,Engineering,,Level-3 (High),88510.34366524708
EMP-17776,SOFTWARE ENGINEER,Human Resources,8.0,Level-1 (Low),53647.87160613465
EMP-29041,Software Engineer,Marketing,3.0,Level-1 (Low),108850.95265097776
EMP-11193,Data Analyst,Finance,3.0,Level-3 (High),118199.72520296938
EMP-99881,SOFTWARE ENGINEER,Human Resources,-2.0,Level-2 (Medium),52727.2558857366
EMP-41225,UNKNOWN,Human Resources,3.0,Level-2 (Medium),112929.47659454425
EMP-34484,  Manager  ,Finance,5.0,Level-3 (High),106877.32657022338
EMP-59126,software engineer,N/A,1.0,Level-2 (Medium),48468.95245047433
EMP-82636,Data Analyst,Engineering,8.0,MISSING,135635.69283491006
EMP-91324,  Manager  ,Finance,1.0,Level-2 (Medium),95105.25034729531
EMP-76730,software engineer,Finance,12.0,Level-3 (High),144598.94097259175
EMP-30318,Data Analyst,Engineering,1.0,Level-1 (Low),91038.6031696154
EMP-31471,Software Engineer,Human Resources,1.0,Level-1 (Low),78683.73114369594
EMP-59977,SOFTWARE ENGINEER,Finance,,Level-2 (Medium),105114.63935850833
EMP-51472,Project Manager,Marketing,8.0,Level-2 (Medium),67802.17516303308
EMP-84561,Software Engineer,Engineering,3.0,Level-3 (High),163483.4252409905
EMP-84727,data analyst,Engineering,3.0,Level-2 (Medium),104784.13263237759
EMP-24659,Project Manager,Engineering,35.0,Level-2 (Medium),128803.87785712948
EMP-73835,Software Engineer,Marketing,3.0,MISSING,32145.254765365597
EMP-82139,SOFTWARE ENGINEER,N/A,1.0,Level-2 (Medium),59370.81089811684
EMP-23192,,Engineering,35.0,Level-3 (High),
EMP-74850,Software Engineer,Marketing,5.0,Level-3 (High),108458.64653849076
EMP-85909,Data Analyst,Engineering,8.0,Level-2 (Medium),96987.66580527164
EMP-78396,Software Engineer,Engineering,5.0,Level-1 (Low),67554.5008959976
EMP-80904,Data Analyst,Engineering,8.0,Level-3 (High),152522.2222253753
EMP-99360,Data Analyst,Engineering,35.0,Level-2 (Medium),166430.98857483134
EMP-13274,Software Engineer,Marketing,1.0,Level-3 (High),107116.25423510892
EMP-99717,SOFTWARE ENGINEER,Engineering,3.0,Level-1 (Low),163619.4667269807
EMP-38183,software engineer,Engineering,5.0,Level-2 (Medium),98624.96125733817
EMP-47771,SOFTWARE ENGINEER,Marketing,12.0,Level-2 (Medium),141869.83101160376
EMP-83301,Data Analyst,Finance,3.0,Level-1 (Low),43607.98190004019
EMP-46691,software engineer,Engineering,12.0,Level-1 (Low),61247.08650879642
EMP-77328,SOFTWARE ENGINEER,Engineering,1.0,Level-1 (Low),25143.27075194897
EMP-20974,  Manager  ,Finance,5.0,Level-2 (Medium),141174.46215305454
EMP-35810,,Finance,3.0,Level-2 (Medium),
EMP-15002,Data Analyst,Engineering,3.0,Level-3 (High),126178.45020607673
EMP-27345,data analyst,Human Resources,8.0,Level-1 (Low),52672.52415982864
